# rlawt per-frame CSV, CLOCK_MONOTONIC ns / microseconds
# mkcur_cumulative is the per-window makeCurrent counter — diff rows for per-frame
frame,t_post_swap_ns,swap_us,gap_us,finish_us,xsync_us,gpu_us,mkcur_cumulative
566,233484590931684,31260,11876,0,0,0,0
567,233484632551376,27493,14125,0,0,0,0
568,233484676624376,29842,14230,0,0,0,0
569,233484718491453,28232,13635,0,0,0,0
570,233484763027760,32399,12137,0,0,0,0
571,233484805468607,27527,14913,0,0,0,0
572,233484848485299,27944,15072,0,0,0,0
573,233484888176299,27228,12462,0,0,0,0
574,233484927840991,27505,12159,0,0,0,0
575,233484967820991,28868,11111,0,0,0,0
576,233485008896068,29230,11845,0,0,0,0
577,233485050719453,28334,13488,0,0,0,0
578,233485096100299,29334,16046,0,0,0,0
579,233485137512684,27801,13610,0,0,0,0
580,233485178891684,28580,12798,0,0,0,0
581,233485219890453,28862,12136,0,0,0,0
582,233485272300991,37350,15060,0,0,0,0
583,233485323530530,35604,15624,0,0,0,0
584,233485364967376,27953,13483,0,0,0,0
585,233485403677222,27169,11540,0,0,0,0
586,233485443766837,28045,12044,0,0,0,0
587,233485481171761,26302,11102,0,0,0,0
588,233485519334530,26578,11584,0,0,0,0
589,233485561945914,29777,12834,0,0,0,0
590,233485606271453,31626,12698,0,0,0,0
591,233485648265914,28910,13083,0,0,0,0
592,233485701278530,33929,19082,0,0,0,0
593,233485743858145,31048,11531,0,0,0,0
594,233485783368914,28092,11418,0,0,0,0
595,233485825230145,28899,12961,0,0,0,0
596,233485864987068,27313,12443,0,0,0,0
597,233485903762837,27338,11437,0,0,0,0
598,233485943384068,27778,11842,0,0,0,0
599,233485982133299,27779,10969,0,0,0,0
600,233486021941607,27693,12115,0,0,0,0
601,233486065037607,30519,12576,0,0,0,0
602,233486102742453,26071,11633,0,0,0,0
603,233486149963376,34885,12335,0,0,0,0
604,233486191663684,26314,15385,0,0,0,0
605,233486232478837,28909,11905,0,0,0,0
606,233486273123761,27498,13146,0,0,0,0
607,233486317116068,27121,16871,0,0,0,0
608,233486364438222,29710,17611,0,0,0,0
609,233486406562453,28046,14078,0,0,0,0
