04-26 13:04:41.684  9219  9241 I RLT     : +1299ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=34 fd_count=116 | thread=binder:9219_3
04-26 13:04:41.686  9219  9241 I RLT     : +1300ms [STATE] S26 attachSurface: 960x540 attach=35 fd_count=116 remote_pid=9186 | thread=binder:9219_3
04-26 13:04:41.714  9186  9186 I RLT     : +1672ms [LIFECYCLE] S26 surfaceChanged: 1024x768 format=1 | thread=main
04-26 13:04:41.718  9219  9267 I RLT     : +1333ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=35 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.720  9219  9267 I RLT     : +1335ms [STATE] S26 attachSurface: 1024x768 attach=36 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.746  9186  9186 I RLT     : +1704ms [LIFECYCLE] S26 surfaceChanged: 1280x720 format=1 | thread=main
04-26 13:04:41.749  9219  9241 I RLT     : +1364ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=36 fd_count=116 | thread=binder:9219_3
04-26 13:04:41.750  9219  9241 I RLT     : +1365ms [STATE] S26 attachSurface: 1280x720 attach=37 fd_count=116 remote_pid=9186 | thread=binder:9219_3
04-26 13:04:41.772  9186  9186 I RLT     : +1729ms [LIFECYCLE] S26 surfaceChanged: 720x1280 format=1 | thread=main
04-26 13:04:41.776  9219  9267 I RLT     : +1391ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=37 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.777  9219  9267 I RLT     : +1392ms [STATE] S26 attachSurface: 720x1280 attach=38 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.806  9186  9186 I RLT     : +1763ms [LIFECYCLE] S26 surfaceChanged: 1366x768 format=1 | thread=main
04-26 13:04:41.810  9219  9273 I RLT     : +1424ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=38 fd_count=116 | thread=binder:9219_5
04-26 13:04:41.810  9219  9273 I RLT     : +1425ms [STATE] S26 attachSurface: 1366x768 attach=39 fd_count=116 remote_pid=9186 | thread=binder:9219_5
04-26 13:04:41.839  9186  9186 I RLT     : +1797ms [LIFECYCLE] S26 surfaceChanged: 1600x900 format=1 | thread=main
04-26 13:04:41.843  9219  9267 I RLT     : +1458ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=39 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.844  9219  9267 I RLT     : +1459ms [STATE] S26 attachSurface: 1600x900 attach=40 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.872  9186  9186 I RLT     : +1830ms [LIFECYCLE] S26 surfaceChanged: 640x480 format=1 | thread=main
04-26 13:04:41.877  9219  9273 I RLT     : +1492ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=40 fd_count=116 | thread=binder:9219_5
04-26 13:04:41.878  9219  9273 I RLT     : +1493ms [STATE] S26 attachSurface: 640x480 attach=41 fd_count=116 remote_pid=9186 | thread=binder:9219_5
04-26 13:04:41.905  9186  9186 I RLT     : +1862ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
04-26 13:04:41.908  9219  9267 I RLT     : +1523ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=41 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.909  9219  9267 I RLT     : +1524ms [STATE] S26 attachSurface: 800x600 attach=42 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.930  9186  9186 I RLT     : +1888ms [LIFECYCLE] S26 surfaceChanged: 960x540 format=1 | thread=main
04-26 13:04:41.932  9219  9273 I RLT     : +1547ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=42 fd_count=116 | thread=binder:9219_5
04-26 13:04:41.933  9219  9273 I RLT     : +1548ms [STATE] S26 attachSurface: 960x540 attach=43 fd_count=116 remote_pid=9186 | thread=binder:9219_5
04-26 13:04:41.964  9186  9186 I RLT     : +1922ms [LIFECYCLE] S26 surfaceChanged: 1024x768 format=1 | thread=main
04-26 13:04:41.969  9219  9236 I RLT     : +1584ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=43 fd_count=116 | thread=binder:9219_1
04-26 13:04:41.971  9219  9236 I RLT     : +1586ms [STATE] S26 attachSurface: 1024x768 attach=44 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:41.996  9186  9186 I RLT     : +1954ms [LIFECYCLE] S26 surfaceChanged: 1280x720 format=1 | thread=main
04-26 13:04:41.999  9219  9273 I RLT     : +1613ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=44 fd_count=116 | thread=binder:9219_5
04-26 13:04:41.999  9219  9273 I RLT     : +1614ms [STATE] S26 attachSurface: 1280x720 attach=45 fd_count=116 remote_pid=9186 | thread=binder:9219_5
04-26 13:04:42.031  9186  9186 I RLT     : +1989ms [LIFECYCLE] S26 surfaceChanged: 720x1280 format=1 | thread=main
04-26 13:04:42.037  9219  9236 I RLT     : +1651ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=45 fd_count=116 | thread=binder:9219_1
04-26 13:04:42.038  9219  9236 I RLT     : +1653ms [STATE] S26 attachSurface: 720x1280 attach=46 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:42.063  9186  9186 I RLT     : +2021ms [LIFECYCLE] S26 surfaceChanged: 1366x768 format=1 | thread=main
04-26 13:04:42.066  9219  9273 I RLT     : +1681ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=46 fd_count=116 | thread=binder:9219_5
04-26 13:04:42.067  9219  9273 I RLT     : +1682ms [STATE] S26 attachSurface: 1366x768 attach=47 fd_count=116 remote_pid=9186 | thread=binder:9219_5
04-26 13:04:42.088  9186  9186 I RLT     : +2046ms [LIFECYCLE] S26 surfaceChanged: 1600x900 format=1 | thread=main
04-26 13:04:42.091  9219  9236 I RLT     : +1706ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=47 fd_count=116 | thread=binder:9219_1
04-26 13:04:42.092  9219  9236 I RLT     : +1707ms [STATE] S26 attachSurface: 1600x900 attach=48 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:42.123  9186  9186 I RLT     : +2081ms [LIFECYCLE] S26 surfaceChanged: 640x480 format=1 | thread=main
04-26 13:04:42.128  9219  9273 I RLT     : +1743ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=48 fd_count=116 | thread=binder:9219_5
04-26 13:04:42.130  9219  9273 I RLT     : +1745ms [STATE] S26 attachSurface: 640x480 attach=49 fd_count=116 remote_pid=9186 | thread=binder:9219_5
04-26 13:04:42.155  9186  9186 I RLT     : +2113ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
